Sample	Node	XGB	RF	RF_Adenoviridae	RF_Anelloviridae	RF_Arenaviridae	RF_Astroviridae	RF_Bornaviridae	RF_Caliciviridae	RF_Circoviridae	RF_Coronaviridae	RF_Filoviridae	RF_Flaviviridae	RF_Genomoviridae	RF_Hantaviridae	RF_Hepadnaviridae	RF_Hepeviridae	RF_Kolmioviridae	RF_Matonaviridae	RF_Nairoviridae	RF_Orthoherpesviridae	RF_Orthomyxoviridae	RF_Papillomaviridae	RF_Paramyxoviridae	RF_Parvoviridae	RF_Peribunyaviridae	RF_Phenuiviridae	RF_Picornaviridae	RF_Pneumoviridae	RF_Polyomaviridae	RF_Poxviridae	RF_Redondoviridae	RF_Retroviridae	RF_Rhabdoviridae	RF_Sedoreoviridae	RF_Spinareoviridae	RF_Togaviridae	XGB_Adenoviridae	XGB_Anelloviridae	XGB_Arenaviridae	XGB_Astroviridae	XGB_Bornaviridae	XGB_Caliciviridae	XGB_Circoviridae	XGB_Coronaviridae	XGB_Filoviridae	XGB_Flaviviridae	XGB_Genomoviridae	XGB_Hantaviridae	XGB_Hepadnaviridae	XGB_Hepeviridae	XGB_Kolmioviridae	XGB_Matonaviridae	XGB_Nairoviridae	XGB_Orthoherpesviridae	XGB_Orthomyxoviridae	XGB_Papillomaviridae	XGB_Paramyxoviridae	XGB_Parvoviridae	XGB_Peribunyaviridae	XGB_Phenuiviridae	XGB_Picornaviridae	XGB_Pneumoviridae	XGB_Polyomaviridae	XGB_Poxviridae	XGB_Redondoviridae	XGB_Retroviridae	XGB_Rhabdoviridae	XGB_Sedoreoviridae	XGB_Spinareoviridae	XGB_Togaviridae	GC_Content	Length	protein_profiles	stitle	pident	evalue	bitscore
FN1	NODE_47_length_983_cov_1.611479	Sedoreoviridae	Sedoreoviridae	0.0	0.03	0.0	0.01	0.01	0.0	0.06	0.0	0.0	0.08	0.09	0.0	0.02	0.11	0.06	0.06	0.0	0.07	0.02	0.0	0.02	0.03	0.02	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.21	0.06	0.0	7,30E+01	515.825	10.111.675	50.377.863	8,04E+01	6,87E+01	27.348.532	6,95E+02	5,19E+02	29.012.363	507.963	28.632.712	13.669.266	7,68E+01	20.720.996	7,63E+01	5,52E+02	23.948.272	5,67E+01	7,38E+01	8,82E+02	6,18E+02	41.612.107	17.863.927	7,42E+01	5,88E+02	6,36E+01	7,11E+00	24.322.595	30.516.814	6,26E+01	98.548.293	16.837.507	7,67E+01	58.7	983	MFS_1, Sugar_tr	D-galactonate transporter [Bradyrhizobium erythrophlei]	94.0	1.68e-160	466.0
FN1	NODE_33_length_1112_cov_21926.271498	Anelloviridae	Anelloviridae	0.0	0.28	0.04	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.0	0.0	0.14	0.0	0.03	0.0	0.04	0.0	0.03	0.0	0.05	0.02	0.05	0.05	0.01	0.02	0.01	0.0	0.0	0.16	0.0	0.04	0.0	0.0	4.882.919	91.431.063	1.564.586	33.511.568	45.794.202	5.274.687	12.753.202	5.911.416	39.807.492	28.287.724	6.446	41.305.105	12.599.527	4.757.808	6.888.023	71.898.947	4.024.381	16.563.322	3.737.364	5.666.225	38.747.848	8.033.332	41.377.769	20.618.802	6.218.017	8.231.625	48.768.922	54.549.164	777.898	10.543.757	43.147.124	1.658.145	33.435.973	45.451.394	41.19	1112	DUF755	MAG: ORF1 [TTV-like mini virus]	98.81	8.01e-46	178.0
FN1	NODE_18_length_1277_cov_18875.608333	Anelloviridae	Anelloviridae	0.0	0.31	0.02	0.01	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.02	0.1	0.01	0.01	0.0	0.05	0.0	0.06	0.0	0.06	0.02	0.05	0.03	0.01	0.02	0.01	0.0	0.0	0.15	0.0	0.02	0.01	0.0	17.638.033	6.558.204	9.491.659	27.339.677	16.541.737	1.905.318	4.606.701	28.884.567	14.379.221	1.186.846	2.328.418	14.920.197	23.473.425	17.186.106	2.488.086	25.971.278	18.361.066	5.982.987	29.066.738	2.046.749	14.838.272	29.017.937	14.946.436	2.747.752	2.246.067	353.788	1.761.627	19.704.204	16.940.028	76.437.355	15.585.569	58.000.352	65.390.915	16.417.914	40.64	1277	DUF755	MAG: ORF1 [TTV-like mini virus]	98.81	3,33E-29	178.0
FN1	NODE_8_length_1799_cov_43181.332172	Anelloviridae	Anelloviridae	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	4.470.247	9.829.229	40.635.702	4.436.111	29.015.366	42.094.768	46.801.794	4.737.263	38.634.962	2.833.552	3.382.871	29.993.194	8.131.184	3.320.992	371.653	38.679.224	52.547.257	37.299.463	27.085.922	45.219.448	57.343.574	52.476.994	43.374.358	15.872.339	4.962.304	18.856.664	38.920.162	43.533.093	4.666.457	88.997.174	12.133.849	4.268.938	10.374.879	36.272.596	38.63	1799	TT_ORF1	MAG: ORF1 [TTV-like mini virus]	93.464	0.0	868.0
FN1	NODE_6_length_2033_cov_1968.354294	Anelloviridae	Anelloviridae	0.02	0.67	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.04	0.0	0.01	0.01	0.0	0.01	0.0	0.01	0.0	0.03	0.0	0.05	0.01	0.01	0.03	0.01	0.0	0.0	0.0	0.0	0.03	0.0	0.02	0.01	0.02	6,45E+01	99.961.543	5,46E+01	9,39E+00	4,80E+00	6,97E+01	4,16E+01	6,99E+00	5,26E+01	2,63E+01	5,54E+01	6,57E+01	6,39E+01	6,28E+00	6,15E+01	8,71E+00	4,69E+01	5,94E+01	1,13E+02	7,48E+00	1,07E+02	6,90E+01	4,48E+01	4,03E+01	7,52E+01	5,85E+01	7,27E+00	7,20E+01	4,49E+01	16.151.177	5,70E+00	2,62E+01	4,68E+00	6,76E+00	49.23	2033	TT_ORF1	MAG: ORF1 protein, partial [Alphatorquevirus homin29]	93.948	0.0	680.0
FN1	NODE_59_length_909_cov_1.539663	Anelloviridae	Sedoreoviridae	0.0	0.06	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.12	0.07	0.0	0.02	0.03	0.07	0.09	0.0	0.11	0.04	0.0	0.01	0.01	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.25	0.04	0.0	16.174.385	5.679.625	19.089.588	38.178.975	13.223.242	15.230.858	8.030.324	19.585.767	11.494.557	23.632.955	11.255.336	663.466	6.095.098	19.909.106	41.332.943	2.269.207	11.013.553	14.632.116	30.132.512	2.756.046	2.215.148	13.691.897	5.269.495	1.411.215	16.436.757	2.399.974	14.082.212	15.751.276	36.675.995	16.852.197	20.216.506	9.176.448	42.377.993	16.998.526	64.58	909	MFS_1, Sugar_tr	MFS transporter [Stellaceae bacterium]	76.923	1.34e-132	395.0
FN3	NODE_1_length_1847_cov_332.752542	Anelloviridae	Anelloviridae	0.0	0.96	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4,36E+01	99.974.364	3,22E+01	1,59E+02	3,61E+00	4,11E+01	3,47E+01	6,84E+01	3,10E+00	3,20E+00	4,07E+01	1,64E+02	8,63E+00	3,24E+01	3,63E+01	4,24E+00	6,52E+01	1,51E+02	5,26E+00	4,41E+01	7,62E+01	9,07E+00	7,02E+00	2,79E+01	4,84E+01	1,09E+02	3,80E+01	4,25E+01	4,60E+01	1,16E+02	3,36E+01	1,72E+02	4,66E+02	3,54E+01	36.55	1847	TT_ORF1	MAG: ORF1 [TTV-like mini virus]	100.0	0.0	1054.0
FN4	NODE_177_length_594_cov_5.847195	Sedoreoviridae	Matonaviridae	0.0	0.1	0.01	0.01	0.0	0.0	0.07	0.0	0.0	0.07	0.0	0.0	0.0	0.04	0.04	0.25	0.0	0.14	0.03	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.03	0.0	0.01	0.01	0.1	0.03	0.01	2,61E+02	17.932.577	4,76E+02	5,43E+01	2,25E+02	2,45E+01	5,80E+01	2,46E+01	2,25E+01	7,88E+01	3,30E+02	14.660.876	6,84E+01	2,74E+01	3,20E+01	2,96E+02	6,98E+01	5.190.849	6,49E+01	2,64E+01	81.977.976	3,01E+02	3,27E+02	14.077.917	2,89E+02	31.311.556	2,27E+02	2,54E+01	5,83E+00	38.776.242	2,80E+02	98.294.616	9.897.988	2,74E+02	70.37	594	Kelch_1	hypothetical protein PYW08_009457 [Mythimna loreyi]	95.745	1.56e-18	95.5
FN4	NODE_6_length_1496_cov_2.899225	Anelloviridae	Anelloviridae	0.0	0.55	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.03	0.0	0.07	0.05	0.01	0.01	0.01	0.0	0.0	0.08	0.0	0.06	0.0	0.0	68.111.025	9.451.975	6.333.938	9.633.394	63.877.564	73.575.764	12.276.458	9.536.865	555.268	51.332.207	4.788.632	714.565	12.647.965	6.636.587	9.607.997	74.412.033	24.183.406	20.350.968	23.781.983	790.373	11.077.325	14.342.549	12.919.632	46.626.249	86.734.124	21.612.346	68.027.026	7.608.975	59.803.354	15.958.248	6.018.523	1.289.388	5.584.992	6.339.945	37.57	1496	DUF755	MAG: ORF1 [TTV-like mini virus]	97.151	0.0	711.0
FN5	NODE_2_length_1780_cov_3.872578	Sedoreoviridae	Sedoreoviridae	0.0	0.06	0.0	0.01	0.0	0.0	0.07	0.0	0.0	0.1	0.08	0.0	0.05	0.09	0.03	0.02	0.0	0.05	0.09	0.0	0.02	0.03	0.0	0.06	0.0	0.0	0.0	0.02	0.0	0.01	0.01	0.11	0.09	0.0	64.876.187	5.371.612	4.785.066	62.950.472	71.469.783	61.091.655	8.698.946	5.535.132	56.070.476	62.964.736	6.713.414	6.367.004	56.073.903	61.826.785	6.245.374	61.788.443	55.638.906	21.084.018	4.145.385	65.626.465	9.601.649	7.493.755	11.022.757	56.611.383	72.017.345	51.326.887	56.484.384	6.317.908	6.235.197	67.696.534	49.973.186	6.981.412	8.197.459	6.818.185	54.33	1780	Flg_bbr_C, Peptidase_C92	MAG: adenylate cyclase [Bradyrhizobium sp. DFCI-1]	100.0	1.48e-177	513.0
FN5	NODE_77_length_763_cov_1.848397	Sedoreoviridae	Matonaviridae	0.0	0.04	0.0	0.01	0.0	0.0	0.03	0.0	0.0	0.12	0.03	0.01	0.06	0.12	0.0	0.13	0.02	0.1	0.04	0.0	0.02	0.04	0.01	0.01	0.01	0.0	0.0	0.02	0.0	0.01	0.0	0.13	0.04	0.0	2.423.642	22.708.314	25.434.745	32.466.077	21.197.845	22.822.597	75.340.795	26.484.017	17.223.967	47.677.828	23.691.608	7.134.545	20.948.067	2.983.272	22.847.511	2.184.493	30.232.983	13.235.149	983.563	24.516.712	26.769.997	26.614.187	62.571.705	18.401.995	26.904.212	21.591.007	21.101.414	23.602.415	69.261.197	2.171.322	2.128.207	94.273.865	17.488.841	22.139.413	66.19	763	MFS_1, MFS_2	putative transrane efflux protein [Bradyrhizobium sp.]	79.57	5,39E-51	226.0
FN5	NODE_99_length_713_cov_3.819182	Phenuiviridae	Sedoreoviridae	0.01	0.1	0.01	0.01	0.0	0.0	0.02	0.0	0.0	0.17	0.05	0.0	0.03	0.01	0.02	0.03	0.04	0.01	0.08	0.0	0.03	0.01	0.01	0.08	0.03	0.0	0.0	0.0	0.0	0.01	0.01	0.18	0.05	0.0	36.557.845	17.997.509	26.963.933	15.958.171	2.372.887	34.425.254	569.022	4.291.603	25.980.368	23.042.084	1.736.327	6.113.959	3.298.613	31.051.845	24.223.076	32.950.558	6.519.792	7.759.921	22.165.183	55.729.984	52.343.337	3.820.094	44.806.604	23.403.805	3.715.087	163.329	31.829.048	35.601.521	38.597.388	21.034.889	2.815.998	90.736.605	2.364.303	33.394.753	54.56	713	Hydrolase_4, Beta-APP, LCAT	phospholipid:diacylglycerol acyltransferase [Malassezia pachydermatis]	94.631	4.96e-91	291.0
FN5	NODE_134_length_647_cov_1.205263	Hepadnaviridae	Phenuiviridae	0.0	0.04	0.01	0.01	0.0	0.03	0.01	0.0	0.0	0.11	0.0	0.01	0.13	0.0	0.1	0.0	0.02	0.0	0.12	0.02	0.03	0.0	0.02	0.29	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.01	0.0	30.394.834	49.650.494	27.102.572	58.047.934	24.849.062	28.621.764	32.277.792	1.240.341	21.600.523	32.147.028	2.115.098	73.571.606	24.714.822	28.966.176	20.211.533	30.153.699	15.743.261	1.731.071	15.873.997	30.746.346	51.824.576	28.366.207	33.194.972	10.265.973	30.887.884	9.498.448	2.646.323	29.599.732	77.934.535	51.814.977	32.622.474	17.791.884	2.459.452	31.943.559	50.08	647	Gasdermin_C	gasdermin-C-like, partial [Mus pahari]	80.0	1.2e-07	64.3
FN7	NODE_3_length_2433_cov_58.203311	Anelloviridae	Anelloviridae	0.01	0.54	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.04	0.0	0.07	0.0	0.02	0.05	0.01	0.0	0.0	0.06	0.0	0.11	0.0	0.0	37.693.244	8.123.314	2.780.137	37.405.388	2.446.581	35.494.403	4.624.981	360.464	2.678.723	2.389.259	2.310.131	2.572.283	3.980.327	28.002.667	7.137.027	4.365.572	9.017.673	9.490.283	4.124.098	3.812.916	3.636.905	57.399.687	496.787	2.640.971	41.842.256	11.330.373	32.817.582	36.707.206	3.184.313	38.714.448	33.098.531	52.992.634	26.049.085	30.585.153	36.13	2433	DUF755, TT_ORF2	MAG: ORF1 [TTV-like mini virus]	99.675	0.0	1204.0
FN7	NODE_258_length_560_cov_2.364389	Sedoreoviridae	Anelloviridae	0.01	0.14	0.02	0.0	0.0	0.01	0.02	0.0	0.0	0.11	0.01	0.0	0.07	0.0	0.03	0.0	0.01	0.01	0.09	0.01	0.06	0.04	0.04	0.02	0.02	0.0	0.0	0.0	0.08	0.03	0.0	0.1	0.06	0.01	27.735.445	12.153.178	35.239.775	70.914.524	22.674.908	26.117.507	6.516.055	36.049.963	197.106	27.044.988	29.151.249	66.013.676	46.479.236	23.118.316	8.122.822	29.274.179	3.980.319	59.886.012	10.139.308	31.360.264	4.344.733	23.478.547	32.979.858	4.536.094	30.788.386	28.813	24.147.835	27.009.908	7.326.296	44.003.528	42.206.766	5.246.129	16.478.527	29.148.664	47.68	560	MFS_1	pantothenate transporter [Aspergillus ruber CBS 135680]	65.432	6,75E-12	117.0
FN8	NODE_2725_length_514_cov_1.270023	Sedoreoviridae	Sedoreoviridae	0.0	0.06	0.0	0.02	0.0	0.0	0.04	0.0	0.0	0.18	0.03	0.0	0.02	0.04	0.02	0.1	0.0	0.02	0.1	0.0	0.04	0.02	0.03	0.01	0.03	0.0	0.0	0.01	0.0	0.02	0.01	0.19	0.01	0.0	1,21E+02	14.823.289	2,20E+02	14.030.987	1,05E+02	1,14E+02	2,07E+02	9,15E+01	8,61E+00	2,93E+02	1,27E+02	7,21E+01	117.176.736	1,16E+02	5,47E+01	1,40E+02	1,41E+02	3.191.698	3,02E+00	1,85E+02	2,85E+02	1,13E+02	4,45E+02	1,54E+02	1,35E+02	1,26E+02	1,06E+02	1,18E+02	11.164.588	14.690.557	9,34E+00	9.969.199	15.838.884	1,27E+02	59.34	514	Helicase_C	DISARM system SFN2-like helicase DrmD [Streptomyces sp. AcH 505]	100.0	2.74e-87	288.0
FN8	NODE_15_length_3154_cov_2.436139	Spinareoviridae	Spinareoviridae	0.01	0.05	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.09	0.08	0.01	0.02	0.0	0.0	0.0	0.04	0.0	0.12	0.01	0.02	0.04	0.01	0.0	0.04	0.0	0.0	0.0	0.0	0.01	0.02	0.19	0.2	0.01	1.641.968	14.261.023	18.888.872	23.630.971	20.750.217	17.737.074	15.765.805	1.607.045	13.385.974	43.437.965	4.515.456	14.553.615	16.280.249	13.993.345	1.565.999	129.483.035	16.858.399	26.061.438	76.668.174	19.053.694	10.996.321	15.944.883	10.588.563	30.534.623	19.141.402	1.490.202	16.399.423	18.343.126	17.405.793	766.172	16.143.557	20.279.316	3.269.192	17.206.123	48.35	3154	Pkinase, PK_Tyr_Ser-Thr	hypothetical protein H2198_009077 [Neophaeococcomyces mojaviensis]	56.154	4.08e-88	304.0
